world,scenario_id,condition,system,channel,run_idx,episode_id,valid,censored,hit_cap_sim_steps,hit_cap_wallclock,termination_reason,duration_s,ticks,wallclock_s,turns,agent_turns,user_turns,turn_taking,conv_progression,selectivity,n_distractors_injected,n_distractors_ignored,prd,efficiency,optimal_blocks,blocks_walked,pass_at_1,over_ratio,under_ratio,budget_side,faithfulness,dnsmos,utmos,nisqa,speech_complexity_preset,agent_model_id,decision_model_arm,ideal_tool_calls,actual_tool_calls,conditional_pop_note,conv_progression_raw13,faithfulness_raw13,conv_progression_pass_gate,faithfulness_pass_gate
nyc_geo,geo_a_base_i1,base,amazon.nova-2-sonic-v1:0,clean,0,1502ea2c-b6ca-4b32-9e5b-74b794f34c56,1,1,1,0,max_steps,1200.2,6001,1941.6,27,13,14,0.0,0.0,,,,0,,5,0,0,,0.1429,under,0.5,3.226,2.48,2.519,control,nova:amazon.nova-2-sonic-v1:0,luna,7,1,,1,2,0,1
nyc_geo,geo_a_base_i1,base,amazon.nova-2-sonic-v1:0,clean,1,48f09ea6-4c73-441d-a66f-8d7525027fd2,1,1,1,0,max_steps,1200.2,6001,1959.1,19,9,10,0.0,0.0,,,,0,,5,0,0,,0.5714,under,0.0,3.219,2.324,2.299,control,nova:amazon.nova-2-sonic-v1:0,luna,7,4,,1,1,0,0
nyc_geo,geo_a_base_i1,base,amazon.nova-2-sonic-v1:0,clean,2,266cf51f-8feb-4444-8035-e8e2b1269f5a,1,1,1,0,max_steps,1200.2,6001,1910.1,21,10,11,0.0,0.0,,,,0,,5,0,0,,0.1429,under,0.0,3.06,2.515,2.523,control,nova:amazon.nova-2-sonic-v1:0,luna,7,1,,1,1,0,0
nyc_geo,geo_a_base_i1,base,amazon.nova-2-sonic-v1:0,clean,3,d8045c91-d939-4491-a750-11943e3ebe17,1,1,1,0,max_steps,1200.2,6001,1818.9,27,13,14,0.0,0.0,,,,0,,5,2,0,,0.5714,under,0.0,3.238,2.299,2.355,control,nova:amazon.nova-2-sonic-v1:0,luna,7,4,,1,1,0,0
nyc_geo,geo_a_base_i1,base,amazon.nova-2-sonic-v1:0,clean,4,7a2cda5b-c6a2-4362-8680-eda1864be839,1,1,1,0,max_steps,1200.2,6001,1819.4,23,11,12,0.0,0.0,,,,0,,5,1,0,,0.5714,under,0.0,3.253,2.318,2.463,control,nova:amazon.nova-2-sonic-v1:0,luna,7,4,,1,1,0,0
nyc_geo,geo_a_base_i2,base,amazon.nova-2-sonic-v1:0,clean,0,eee09c47-b5a5-4d50-8d54-4cd7ff1e6781,1,1,1,0,max_steps,1200.2,6001,2801.8,5,2,3,0.0,0.0,,,,0,,5,0,0,1.1429,,over,0.0,3.211,2.383,2.357,control,nova:amazon.nova-2-sonic-v1:0,luna,7,8,,1,1,0,0
nyc_geo,geo_a_base_i2,base,amazon.nova-2-sonic-v1:0,clean,1,f9a50a43-4524-4124-95fb-40f95d073075,1,1,1,0,max_steps,1200.2,6001,1903.4,19,9,10,0.0,0.0,,,,0,,5,1,0,,0.8571,under,0.0,3.166,2.659,2.471,control,nova:amazon.nova-2-sonic-v1:0,luna,7,6,,1,1,0,0
nyc_geo,geo_a_base_i2,base,amazon.nova-2-sonic-v1:0,clean,2,ecd57d94-7eb9-4e8d-8335-9ba0cfa5fec8,1,1,1,0,max_steps,1200.2,6001,1799.0,29,14,15,0.0,0.0,,,,0,,5,1,0,2.7143,,over,0.0,3.12,2.334,2.485,control,nova:amazon.nova-2-sonic-v1:0,luna,7,19,,1,1,0,0
nyc_geo,geo_a_base_i2,base,amazon.nova-2-sonic-v1:0,clean,3,31674863-36b8-40ca-99aa-7e0fe2fa269c,1,1,1,0,max_steps,1200.2,6001,1785.9,19,9,10,0.0,0.0,,,,0,,5,1,0,1.7143,,over,0.0,3.153,2.564,2.575,control,nova:amazon.nova-2-sonic-v1:0,luna,7,12,,1,1,0,0
nyc_geo,geo_a_base_i2,base,amazon.nova-2-sonic-v1:0,clean,4,2c791535-cf19-4cf9-8f7b-a3c24788a652,1,1,1,0,max_steps,1200.2,6001,1774.4,29,14,15,0.0,0.0,,,,0,,5,1,0,,0.2857,under,0.0,3.18,2.546,2.503,control,nova:amazon.nova-2-sonic-v1:0,luna,7,2,,1,1,0,0
nyc_geo,geo_a_base_i3,base,amazon.nova-2-sonic-v1:0,clean,0,090d7a84-3d01-4f2e-9236-87766ed65eae,1,1,1,0,max_steps,1200.2,6001,2011.9,27,13,14,0.0,0.0,,,,0,,5,0,0,,,on,0.0,3.217,2.29,2.562,control,nova:amazon.nova-2-sonic-v1:0,luna,7,7,,1,1,0,0
nyc_geo,geo_a_base_i3,base,amazon.nova-2-sonic-v1:0,clean,1,78ba3d51-6d49-40ab-a373-cc07678fc929,1,1,1,0,max_steps,1200.2,6001,1885.2,21,10,11,0.0,0.0,,,,0,,5,0,0,,0.4286,under,0.0,3.251,2.556,2.654,control,nova:amazon.nova-2-sonic-v1:0,luna,7,3,,1,1,0,0
