world,system,channel,task_id,c,n
nyc_geo,amazon.nova-2-sonic-v1:0,clean,geo_a_base_i1,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,clean,geo_a_base_i2,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,clean,geo_a_base_i3,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,clean,geo_b_blocked_i1,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,clean,geo_b_blocked_i2,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,clean,geo_b_blocked_i3,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,clean,geo_f_errand_i1,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,clean,geo_f_errand_i2,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,clean,geo_f_errand_i3,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,realistic,geo_a_base_i1,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,realistic,geo_a_base_i2,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,realistic,geo_a_base_i3,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,realistic,geo_b_blocked_i1,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,realistic,geo_b_blocked_i2,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,realistic,geo_b_blocked_i3,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,realistic,geo_f_errand_i1,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,realistic,geo_f_errand_i2,0,5
nyc_geo,amazon.nova-2-sonic-v1:0,realistic,geo_f_errand_i3,0,5
nyc_geo,gemini-3.1-flash-live-preview,clean,geo_a_base_i1,4,5
nyc_geo,gemini-3.1-flash-live-preview,clean,geo_a_base_i2,4,5
nyc_geo,gemini-3.1-flash-live-preview,clean,geo_a_base_i3,4,5
nyc_geo,gemini-3.1-flash-live-preview,clean,geo_b_blocked_i1,0,5
nyc_geo,gemini-3.1-flash-live-preview,clean,geo_b_blocked_i2,0,5
nyc_geo,gemini-3.1-flash-live-preview,clean,geo_b_blocked_i3,2,5
nyc_geo,gemini-3.1-flash-live-preview,clean,geo_f_errand_i1,3,5
nyc_geo,gemini-3.1-flash-live-preview,clean,geo_f_errand_i2,1,5
nyc_geo,gemini-3.1-flash-live-preview,clean,geo_f_errand_i3,3,5
nyc_geo,gemini-3.1-flash-live-preview,realistic,geo_a_base_i1,5,5
nyc_geo,gemini-3.1-flash-live-preview,realistic,geo_a_base_i2,4,5
nyc_geo,gemini-3.1-flash-live-preview,realistic,geo_a_base_i3,1,5
nyc_geo,gemini-3.1-flash-live-preview,realistic,geo_b_blocked_i1,0,5
nyc_geo,gemini-3.1-flash-live-preview,realistic,geo_b_blocked_i2,4,5
nyc_geo,gemini-3.1-flash-live-preview,realistic,geo_b_blocked_i3,0,5
nyc_geo,gemini-3.1-flash-live-preview,realistic,geo_f_errand_i1,2,5
nyc_geo,gemini-3.1-flash-live-preview,realistic,geo_f_errand_i2,3,5
nyc_geo,gemini-3.1-flash-live-preview,realistic,geo_f_errand_i3,3,5
nyc_geo,gpt-realtime-2.1,clean,geo_a_base_i1,3,5
nyc_geo,gpt-realtime-2.1,clean,geo_a_base_i2,5,5
nyc_geo,gpt-realtime-2.1,clean,geo_a_base_i3,0,5
nyc_geo,gpt-realtime-2.1,clean,geo_b_blocked_i1,0,5
nyc_geo,gpt-realtime-2.1,clean,geo_b_blocked_i2,1,5
nyc_geo,gpt-realtime-2.1,clean,geo_b_blocked_i3,0,5
nyc_geo,gpt-realtime-2.1,clean,geo_f_errand_i1,2,5
nyc_geo,gpt-realtime-2.1,clean,geo_f_errand_i2,1,5
nyc_geo,gpt-realtime-2.1,clean,geo_f_errand_i3,2,5
nyc_geo,gpt-realtime-2.1,realistic,geo_a_base_i1,1,5
nyc_geo,gpt-realtime-2.1,realistic,geo_a_base_i2,2,5
nyc_geo,gpt-realtime-2.1,realistic,geo_a_base_i3,2,5
nyc_geo,gpt-realtime-2.1,realistic,geo_b_blocked_i1,0,5
nyc_geo,gpt-realtime-2.1,realistic,geo_b_blocked_i2,0,5
nyc_geo,gpt-realtime-2.1,realistic,geo_b_blocked_i3,0,5
nyc_geo,gpt-realtime-2.1,realistic,geo_f_errand_i1,2,5
nyc_geo,gpt-realtime-2.1,realistic,geo_f_errand_i2,2,5
nyc_geo,gpt-realtime-2.1,realistic,geo_f_errand_i3,0,5
nyc_geo,gpt-realtime-2.1-mini,clean,geo_a_base_i1,0,5
nyc_geo,gpt-realtime-2.1-mini,clean,geo_a_base_i2,3,5
nyc_geo,gpt-realtime-2.1-mini,clean,geo_a_base_i3,2,5
nyc_geo,gpt-realtime-2.1-mini,clean,geo_b_blocked_i1,0,5
nyc_geo,gpt-realtime-2.1-mini,clean,geo_b_blocked_i2,0,5
nyc_geo,gpt-realtime-2.1-mini,clean,geo_b_blocked_i3,1,5
nyc_geo,gpt-realtime-2.1-mini,clean,geo_f_errand_i1,0,5
nyc_geo,gpt-realtime-2.1-mini,clean,geo_f_errand_i2,0,5
nyc_geo,gpt-realtime-2.1-mini,clean,geo_f_errand_i3,0,5
nyc_geo,gpt-realtime-2.1-mini,realistic,geo_a_base_i1,1,5
nyc_geo,gpt-realtime-2.1-mini,realistic,geo_a_base_i2,0,5
nyc_geo,gpt-realtime-2.1-mini,realistic,geo_a_base_i3,1,5
nyc_geo,gpt-realtime-2.1-mini,realistic,geo_b_blocked_i1,0,5
nyc_geo,gpt-realtime-2.1-mini,realistic,geo_b_blocked_i2,0,5
nyc_geo,gpt-realtime-2.1-mini,realistic,geo_b_blocked_i3,0,5
nyc_geo,gpt-realtime-2.1-mini,realistic,geo_f_errand_i1,0,5
nyc_geo,gpt-realtime-2.1-mini,realistic,geo_f_errand_i2,2,5
nyc_geo,gpt-realtime-2.1-mini,realistic,geo_f_errand_i3,0,5
nyc_geo,xai-realtime,clean,geo_a_base_i1,4,5
nyc_geo,xai-realtime,clean,geo_a_base_i2,4,5
nyc_geo,xai-realtime,clean,geo_a_base_i3,3,5
nyc_geo,xai-realtime,clean,geo_b_blocked_i1,0,5
nyc_geo,xai-realtime,clean,geo_b_blocked_i2,3,5
nyc_geo,xai-realtime,clean,geo_b_blocked_i3,1,5
nyc_geo,xai-realtime,clean,geo_f_errand_i1,0,5
nyc_geo,xai-realtime,clean,geo_f_errand_i2,3,5
nyc_geo,xai-realtime,clean,geo_f_errand_i3,1,5
nyc_geo,xai-realtime,realistic,geo_a_base_i1,4,5
nyc_geo,xai-realtime,realistic,geo_a_base_i2,4,5
nyc_geo,xai-realtime,realistic,geo_a_base_i3,4,5
nyc_geo,xai-realtime,realistic,geo_b_blocked_i1,0,5
nyc_geo,xai-realtime,realistic,geo_b_blocked_i2,1,5
nyc_geo,xai-realtime,realistic,geo_b_blocked_i3,1,5
nyc_geo,xai-realtime,realistic,geo_f_errand_i1,4,5
nyc_geo,xai-realtime,realistic,geo_f_errand_i2,4,5
nyc_geo,xai-realtime,realistic,geo_f_errand_i3,2,5
